name,index
Mg1C1Ni2.999Fe0.001,1.0
Fe0.7Ru0.3,2.0
Sr1Fe1.84Pt0.16As2,3.0
Ca9.35Dy0.65Pt3Fe10As18,4.0
Al0.1Fe0.9Se0.85,5.0
La1Fe0.4Zn0.6As1F0.15O0.85,6.0
Ca1Fe1.936Co0.064As2,7.0
Tm2Fe1C4,8.0
Y1Ba2Cu2.9Fe0.1O6.72,9.0
Sr1Fe1.86Co0.14As2,10.0
Sr1.8Ca0.2V1Fe1As1O3,11.0
Fe1.02Te0.5S0.5,12.0
La1Fe1As0.9Sb0.1F0.2O0.8,13.0
La1Fe1As0.9P0.1F0.05O0.95,14.0
Eu2.17Ce0.5Sr1.33Cu2Fe1O9.43,15.0
Ba0.7Na0.3Fe2As2,16.0
Fe1Se0.72,17.0
Ca1Fe0.91Co0.09As1H1,18.0
Ba0.39K0.61Fe2As2,19.0
Ca10Pt4.2Fe9.8As18,20.0
Ca0.84Nd0.16Fe1As0.9Sb0.1,21.0
Y1Ba2Cu2.94Fe0.06O7.254,22.0
Sm1Fe0.94Ni0.06As1F0.12O0.88,23.0
Fe1Se0.246Te0.574,24.0
La1Fe0.995Zn0.005As1O0.85,25.0
Ca10Pt3.33Fe9.67As18,26.0
La0.85Sr1.15Fe1O4,27.0
Fe1Te0.65Se0.35,28.0
Ca1Fe0.8Co0.2As1F1,29.0
La1Fe1As0.6P0.4F0.1O0.9,30.0
Ba1Fe1.25Cr0.75As2,31.0
Pd50.93625Fe0.06375Sb49,32.0
La1.83Sr0.17Cu0.94Fe0.06O4,33.0
Dy1Fe1As1F0.1O0.9,34.0
Sm1Fe1As0.47P0.53H0.24O0.76,35.0
Fe1Se0.96S0.04,36.0
Ca0.8La0.2Fe0.9671Co0.0329As2,37.0
La1Fe0.875Co0.125As1O1,38.0
Nd1Fe1As1F0.1O0.9,39.0
Er1Ba2Cu2.91Fe0.09O6.96,40.0
Sm1Fe1As1O0.67,41.0
La0.5Sr1.5Cu0.25Fe0.75O3.8,42.0
Nb80Ga18Fe2,43.0
Sr0.5K0.5Fe2As2,44.0
Fe1Te0.4Se0.4,45.0
Nd1Fe1P1F0.1O0.9,46.0
La0.8Y0.2Fe0.9Mn0.1As1F0.11O0.89,47.0
Ca1Fe0.74Co0.26As1F1,48.0
La1.25Sr0.75Cu0.4Fe0.6O4,49.0
Y0.92Ca0.08Sr2Cu2.5Fe0.5O6.74,50.0
K0.2Sr0.8Fe2As2,51.0
Na1Fe0.95Co0.05As1,52.0
Ce1Fe1As0.95P0.05F0.05O0.95,53.0
Fe0.03Nb0.25Ti0.72,54.0
La0.8Y0.2Fe1As1O0.6,55.0
Y1Ba2Cu2.9Fe0.1O6.8,56.0
Pr1Fe1P1O1,57.0
Fe1.03Te0.72Se0.28,58.0
Fe0.27Co0.63Al0.1,59.0
La1Fe1As1F0.11O0.89,60.0
La1.82Sr0.18Cu0.97Fe0.03O4,61.0
Eu1Fe1.9Ir0.1As2,62.0
Be0.95Fe0.05,63.0
Lu1.9Sc0.1Fe3Si5,64.0
Ba1Fe1.8Ir0.2As2,65.0
Fe0.5Ba1Sr1Dy1Cu2.5O7.447,66.0
Fe2Hf1,67.0
Ba1Fe1.6Ir0.4As2,68.0
Sm1Fe1As0.95P0.05F0.12O0.88,69.0
K0.8Fe2Se0.42S1.58,70.0
K0.76Fe1.61Se0.96S1.04,71.0
Dy1Ba2Cu2.96Fe0.04O6.89,72.0
Pr0.6Sr0.4Fe1As0.9Sb0.1O1,73.0
Ce1Fe0.98Co0.02As1H1,74.0
Sm1Fe1As0.77P0.23H0.2O0.8,75.0
Tl0.4Rb0.4Fe2Se2,76.0
Ba1Fe1.87Zn0.02Co0.11As2,77.0
Fe1Te0.925Se0.075,78.0
Fe0.81Co0.09Al0.1,79.0
Sr1Fe1.57Ir0.43As2,80.0
Eu0.784K0.216Fe2As2,81.0
Fe0.011Mo99.989,82.0
Tl1Fe1.7Se2,83.0
Gd1Fe1As1O0.7,84.0
K0.73Fe1.44Se1.68S0.32,85.0
Nd1Fe1As1F0.175O0.825,86.0
Sm1Fe0.99Ni0.01As1O1,87.0
La0.5Y0.5Fe1As1O1,88.0
La0.7Y0.3Fe1As1O0.6,89.0
Y1Ba2Cu2.95Fe0.05O6.79,90.0
Ba1Fe1.915Ni0.085As2,91.0
Ca1Fe1As1F0.29H0.71,92.0
La1Fe0.98Zn0.02As1O0.85,93.0
Ce1Fe0.74Co0.26As1H1,94.0
Cs0.8Fe2Se2,95.0
Eu1Fe1.6As2P0.4,96.0
Ba1Fe2As1.36P0.64,97.0
K0.8Fe1.996Cr0.004Se2,98.0
Ba0.56La0.44Fe2As2,99.0
La1Fe1As1F0.13O0.87,100.0
Fe1.03Se0.25Te0.75,101.0
Ba1Fe1.908Ni0.092As2,102.0
Li0.8Fe1.2H1Se1,103.0
Sr0.28Eu0.72Fe1.76Co0.24As2,104.0
Sr1Fe1.916Co0.084As2,105.0
Ca10Pt3.51Fe9.49As18,106.0
La1Fe1As1H0.49O0.51,107.0
Tl2Ba2Ca1Cu1.98Fe0.02O8,108.0
Co0.98Fe0.02U1,109.0
Ba1Fe1.86Co0.12Mn0.02As2,110.0
Fe1.12Se0.11Te0.83,111.0
Y1Ba2Cu2.84Fe0.16O7.303,112.0
Ca0.32Na0.68Fe2As2,113.0
Ca1Fe0.9Cr0.1As1F1,114.0
Tl0.6Rb0.4Fe1.67Se2,115.0
Ba1Fe1.87Co0.13As2,116.0
Nd1Fe0.98Co0.02As1F0.11O0.89,117.0
Er1Ni1.8Fe0.2B2C1,118.0
Ca10Pt3.04Fe9.96As18,119.0
Ho1Ni1.99Fe0.01B2C1,120.0
La1Fe1As0.5P0.5F0.05O0.95,121.0
Ba0.79K0.21Fe2As2,122.0
Fe1Se0.98,123.0
Ba1Fe1.66Zn0.12Co0.22As2,124.0
Sm1Fe1As1F0.18O0.82,125.0
Er1Ba2Cu2.61Zn0.36Fe0.03O6.85,126.0
Y0.88Ca0.12Sr2Cu2.5Fe0.5O6.67,127.0
Ca0.88Ce0.12Fe2As2,128.0
Fe14.3U85.7,129.0
La1Fe0.9Co0.1As1O1,130.0
K0.9Na0.1Fe2As2,131.0
Ba1Fe1.914Pd0.086As2,132.0
La1Fe0.918Zn0.082As1F0.28O0.68,133.0
Tl0.4Rb0.4Fe1.6Se2,134.0
Tm1Ni1.84Fe0.16B2C1,135.0
Y1Sr2Cu2.65Fe0.35O7.1,136.0
Ba1Fe1.774Co0.226As2,137.0
Sr0.4Eu0.6Fe1.76Co0.24As2,138.0
Fe2As2Ca6Al1.32Ti2.68O12,139.0
Fe0.95Se0.25Te0.75,140.0
Bi3Fe1,141.0
Ba1Fe1.9Co0.1As2,142.0
Ca4Al2Fe2P2O6,143.0
Fe0.99Ni0.01Se0.82,144.0
Mg1C1Ni2.967Fe0.033,145.0
Ba0.8Na0.2Fe2As2,146.0
Eu1Fe2As1.6P0.4,147.0
Y1Ba2Cu2.7Fe0.3O7.1,148.0
Sr0.85Eu0.15Fe1.76Co0.24As2,149.0
Ba0.5K0.5Fe1.7Zn0.3As2,150.0
Sn0.1Fe1Se0.93,151.0
La1.71Sr0.29Cu0.94Fe0.06O4,152.0
Sm1Fe0.95Co0.05As1O1,153.0
Y1Ba2Cu3.98Fe0.02O8,154.0
La0.7Y0.3Fe1As1F0.15O0.85,155.0
Sm1Fe0.99Mn0.01As1F0.12O0.88,156.0
Fe0.72Co0.18Al0.1,157.0
Fe1Se0.082Te0.738,158.0
Fe1Se0.38Te0.62,159.0
La1Fe1As1F0.6O0.4,160.0
Fe1Se0.7Br0.3,161.0
U6Fe0.5Co0.5,162.0
Sr1Fe1.2Ru0.8As2,163.0
Tb1Fe2Ge2,164.0
Sr1Fe1.888Co0.112As2,165.0
Sm1Fe1As1F0.09O0.91,166.0
Fe0.025Ti0.975,167.0
Fe0.5Ba2Y1Cu2.5O7.41,168.0
Eu2.17Ce0.5Sr1.33Cu2.5Fe0.5O9.23,169.0
Ba1Fe1.91Co0.09As2,170.0
Pr1Fe0.9Co0.1As0.9P0.1O1,171.0
Ca1Fe1.874Co0.126As2,172.0
Fe0.5Ba2Dy1Cu2.5O7.52,173.0
Hf1V0.4Fe1.6,174.0
La1Fe1As1H0.6O0.4,175.0
Ce1Fe1As1F0.04O0.96,176.0
Lu1Fe2Ge2,177.0
Fe1P1,178.0
Hg0.5Fe0.5Sr2Y1Cu2O6.77,179.0
Y1Ba2Cu2.95Fe0.05O6.52,180.0
Ca7.62La2.38Pt3Fe10As18,181.0
La1.89Sr0.11Cu0.995Fe0.005O4,182.0
Ca1Fe1.87Co0.13As2,183.0
Ca0.956Pr0.044Fe2As2,184.0
Zr1Ru0.6Fe0.4P1,185.0
Nd1Fe0.9Co0.1As1F0.11O0.89,186.0
Fe0.45Co0.45Al0.1,187.0
Ba0.5K0.5Fe1.7Co0.3As2,188.0
La1Fe1As1O0.85,189.0
La1.7Sr0.3Cu0.85Fe0.15O4,190.0
Eu1Fe1.8As2P0.2,191.0
Tl0.54K0.46Fe1.88Se2,192.0
La1Fe0.9Ir0.1As1O1,193.0
Rb0.7Fe1.9Se2,194.0
Fe22U78,195.0
Ca10Pt3.18Fe9.82As18,196.0
La1Fe0.905Zn0.095As1F0.28O0.68,197.0
Tl0.75K0.25Fe1.84Se2,198.0
Ba0.5K0.5Fe1.9Ru0.1As2,199.0
K0.8Fe1.78Se2,200.0
Sr1Fe1.6Co0.4As2,201.0
La1Fe0.991Zn0.009As1F0.08O0.9,202.0
La1.85Sr0.15Cu0.973Fe0.027O4,203.0
Y1Ba2Cu2.6Fe0.4O7.401,204.0
Pr1Fe1As1O0.85,205.0
Ba1Fe1.78Co0.22As2,206.0
Ba0.5K0.5Fe1.8Cu0.2As2,207.0
La1F0.05Fe1As1O0.95,208.0
Ca0.85Eu0.15Fe1As2,209.0
Rb1Eu1Fe4As4,210.0
La2.5Y0.5Ca1Ba3Cu6.86Fe0.14O16.578,211.0
Fe1Se0.82,212.0
La1Fe1As1H0.35,213.0
Pr1Fe1As1F0.154O0.846,214.0
Ba1Fe1.88Ni0.12As2,215.0
Ca1Fe0.93Co0.07As1H1,216.0
Ca0.7Na0.3Fe2As2,217.0
Bi3Ni0.95Fe0.05,218.0
La1Fe0.9Mn0.1As1O1,219.0
Mg1C1Ni2.975Fe0.025,220.0
Sm1Fe0.98Ni0.02As1O1,221.0
La0.8Na0.2Fe1As1F0.2O0.8,222.0
La1Fe0.9997Mn0.00025As1F0.11O0.89,223.0
Fe0.98Ni0.02Se0.3Te0.7,224.0
Ni0.6Fe0.19P0.21,225.0
La1.8Sr0.2Cu0.995Fe0.005O4,226.0
Ba0.82K0.18Fe1.654Co0.346As2,227.0
Fe1.05Te1,228.0
Gd4Fe2As2Te0.9O4,229.0
Y0.88Ca0.12Sr2Cu2.5Fe0.5O6.89,230.0
La1.85Sr0.15Cu0.985Fe0.015O4,231.0
